Title,Subtitle,Author,Publisher,Description,Category,Search Category
Bestsellers,"The Path (bestsellers, free bestsellers, bestsellers for women, bestsellers for men) [bestsellers]","Ivan King, bestsellers",bestsellers,"Hear What the Critics are Saying ""Wow, what an Amazing Book for young adults; truly inspirational, very entertaining and highly thought provoking. The Path is by far one of the best Fiction books to have come out in a long time."" -Mary Jones -Valley Daily News ""The Path is a book that will really challenge the way you view the world. A Must Read."" -Judy B. Cohen â€“ Elite Media Group ""Deliciously Entertaining and a very thought inducing book; I bought it for a friend as a gift and she loved it as well. It's by far one of the finest Fiction books to have come out in the last decade."" -Dave Baker -Book Bloggers of America ""The Path is an extremely fascinating book; it really made me think. If you're looking for a book that will not only make you emotional, but will also exercise your mind, then look no further than this book. Amazing; Five Stars All The Way."" -Debra Eisner -Literary Times Inc. ""My favorite Fiction book this year; so far we have read more than eight. Highly Recommend."" -Emma Righter -Writers United Group ""This book reminded me why I fell in love with reading in the first place; thank you Mr. King for making such an amazing and inspiring book. Keep up with the great story telling. Ten Thumbs Up."" -Lee Ratner â€“Daily Media Trends, Inc. Editorial Review The Path in itself is a journey. By the end of the book, you will feel like you have gone through an emotional and cerebral roller-coaster. This book will really make you think; but more than that, it will make you feel. The Path is a call to action for all generations, young and old. Not since Paulo Coelho's The Alchemist, has a book come out as thought provoking and inspiring. Mr. King does it again. Excellent Book! Jim S. Stein Book Description A little Boy gets lost on a path; along the way, he meets three versions of his future self and discovers the meaning of life. What lessons will he learn; what secrets are going to be revealed? Jump into the path and you will find out..... If you had the power to go back and change one decision in your life, what would it be? Favorite Quote ""Life is a comedy to those who think; a tragedy to those who feel."" Join me on an adventure and together we will discover the true purpose of life. (bestsellers, free bestsellers, bestsellers for women, bestsellers for men) [bestsellers]","""Young Adult Fiction""",fiction bestsellers
Bestsellers,"Hell: A Place Without Hope (bestseller books, bestseller books free, bestsellers, free bestsellers, bestsellers for women, bestsellers for men) [Bestsellers]","Ivan King, bestsellers",bestsellers,"Hear What the Critics are Saying Wow, very inspirational and powerful; everyone must read this book. Hell: A Place Without Hope, is by far one of the best Christian books to have come out in the last decade. A Must Read.â€ -Mary Jones â€“ Valley Daily News â€œI give this book Five Stars All The Way! This book makes my list as one of the top reads in the Christian genre. Anyone of Faith will enjoy this book very much.â€ -Theresa Davis â€“ Elite Media Group â€œHell: A Place Without Hope a very powerful and thought provoking book. Every generation, young and old, should have to read this book. Ten Thumbs Up.â€ -Dave Baker â€“ Book Bloggers of America â€œThis was an excellent book; it was short, I ended up reading it in less than two hours; however, it has a very strong and positive message. Amazing Book!â€ -Lisa Cooper â€“ Literary Times Inc. â€œThis was a very powerful book; very solid message about the dangers of not giving your life to Christ. Highly Recommend.â€ -Emma Right â€“ Writers United Group â€œI fell to my knees at the end and cried. This book reminded me why I became a born-again Christian. Powerful Message.â€ -Carl Mosner â€“ Readers Cove Unlimited Editorial Review Hell: A Place Without Hope is a very spiritual and powerful book. Its messages are time tested and true. This book really made me think; but more importantly, it made me feel. If you are looking for a book that will move you to tears, then look no further than Hell: A Place Without Hope; a masterful book that will not only inspire you to become a better person, but will also teach you some of lifeâ€™s greatest lessons. Inspirational Book! David T. Williams About the Book A young man spends a day in hell and comes back to tell us the story. Hell: A Place Without Hope, is a powerful book that sends a strong message. Every generation of young people should have to read this wonderful Christian book. This book is based on Real Life Experience, which I derived from a vision I had in the year 2005. (bestseller books, bestseller books free, bestsellers, free bestsellers, bestsellers for women, bestsellers for men) [bestsellers]","""Comics & Graphic Novels""",fiction bestsellers
The Bestseller Code,Anatomy of the Blockbuster Novel,"Jodie Archer, Matthew L. Jockers",Macmillan,"""What if there was an algorithm that could predict which novels become mega-bestsellers? Are books like Dan Brown's The Da Vinci Code and Gillian Flynn's Gone Girl the Gladwellian outliers of publishing? [This book] boldly claims that the New York Times bestsellers in fiction are predictable and that it's possible to know with 97% certainty if a manuscript is likely to hit number one on the list as opposed to numbers two through fifteen. The algorithm does exist; the code has been cracked; the results are in""--","""Business & Economics""",fiction bestsellers
Bestseller,A Century of America's Favorite Books,Robert McParland,Bloomsbury Publishing PLC,"Whether curled up on a sofa with a good mystery, lounging by the pool with a steamy romance, or brooding over a classic novel, Americans love to read. Despite the distractions of modern living, nothing quite satisfies many individuals more than a really good book. And regardless of how one accesses that bookâ€”through a tablet, a smart phone, or a good, old-fashioned hardcoverâ€”those choices have been tallied for decades. In Bestseller: A Century of Americaâ€™s Favorite Books, Robert McParland looks at the reading tastes of a nationâ€”from the beginning of the twentieth century to the present day. Through extensive research, McParland provides context for the literature that appealed to the masses, from low-brow potboilers like Forever Amber to Pulitzer-Prize winners such as To Kill a Mockingbird. Decade by decade, McParland discusses the books that resonated with the American public and shows how current events and popular culture shaped the reading habits of millions. Profiles of authors with frequent appearancesâ€”from Ernest Hemingway to Danielle Steelâ€”are included, along with standout titles that readers return to year after year. A snapshot of America and its love of reading through the decades, this volume informs and entertains while also providing a handy reference of the countryâ€™s most popular books. For those wanting to learn more about the history of American culture through its reading habits, Bestseller: A Century of Americaâ€™s Favorite Books is a must-read.","""Literary Criticism""",fiction bestsellers
Bestsellers: Popular Fiction since 1900,,C. Bloom,Palgrave Macmillan,"This guide and reference work of all of the bestselling books, authors and genres since the beginning of the 20th century, provides an insight into over 100 years of publishing and reading as well as taking us on a journey into the heart of the British imagination.","""Literary Criticism""",fiction bestsellers
Hype,Bestsellers and Literary Culture,"Jon Helgason, Sara KÃ¤rrholm, Ann Steiner",Nordic Academic Press,"In the world of books and literature, â€œhypeâ€ is associated with bestsellerism - the books that sell the most, are read by vast numbers, and constantly talked about in media and staff rooms. Often, it is the success in itself that generates an interest because popularity begets popularity. Quite often though, a hyped bestseller is met with a skeptic criticism of poor language, a badly constructed plot, a predictable story line, or all three. The bestseller phenomenon is sometimes conceived as a threat against â€œrealâ€ literature. Research into the creation, reception, and meaning of bestsellers is utterly scarce and Hype: Bestsellers and Literary Culture is an important contribution to the understanding of the literature read by the masses. Popular literature plays an important role in the lives of millions of readers, offering entertainment, social commentary, and alternate perspectives on everyday life. This volume brings together such diverse issues as the creation of hype, the role and the meaning of the author in the present-day media landscape, changes in the book trade, and the relationship between bestsellers and research into them. Further articles give an historical overview on postapocalyptic stories, desert romances and the role of the authors. This book offers new knowledge on a subject that is increasingly popular within university curricula. Although the anthology is a work of academic research the texts are of equal interest to general readers.","""Literary Criticism""",fiction bestsellers
"Bestsellers, 1979-1983",,Library of Congress. National Library Service for the Blind and Physically Handicapped,,,"""Best sellers""",fiction bestsellers
Mary Higgins Clark,Three New York Times Bestselling Novels,Mary Higgins Clark,Wings,"Three New York Times Bestselling Novels The master of suspense returns with three of her newestâ€”and bestâ€”novels:While My Pretty One Sleeps; Loves Music, Loves to Dance, and All Around the Town. All three of these powerful thrillers have topped New York Times bestseller lists.","""Fiction""",fiction bestsellers
Bestsellers,Popular Fiction of the 1970s,John Sutherland,,"First published in 1981, this book offers a study of British and American popular fiction in the 1970s, a decade in which the quest for the superseller came to dominate the lives of publishers on both sides of the Atlantic. Illustrated by examples of the lurid incidents that catapult so many books into the bestseller charts, this comprehensive study covers the work of Robbins, Hailey and Maclean, the 'bodice rippers', the disaster craze, horror, war stories and media tie-ins such as The Godfather, Jaws and Star Wars.","""Literary Criticism""",fiction bestsellers
The Publishers Weekly,,,,,"""American literature""",fiction bestsellers
Best Sellers,,,,,"""American literature""",fiction bestsellers
A Richard Wright Bibliography,"Fifty Years of Criticism and Commentary, 1933-1982","Kenneth Kinnamon, Joseph Benson, Michel Fabre, Craig Werner",Bloomsbury Publishing USA,"Any future biographical work on Richard Wright will find this bibliography a necessity; academic or public libraries supporting a program of black culture will find it invaluable; and it belongs in any library supporting American literature studies. Richard Wright has truly been well served. Choice The most comprehensive bibliography ever compiled for an American writer, this book contains 13,117 annotated items pertaining to Richard Wright. It includes almost all published mentions of the author or his work in every language in which those mentions appear. Sources listed include books, articles, reviews, notes, news items, publishers' catalogs, promotional materials, book jackets, dissertations and theses, encyclopedias, biographical dictionaries, handbooks and study guides, library reports, best seller charts, the Index Translationum, playbills and advertisements, editorials, radio transcripts, and published letters and interviews. The bibliography is arranged chronologically by year. Each entry includes bibliographical information, an annotation by the authors, and information about all reprintings, partial or full. The index is unusually complete and contains the titles of Wright's works, real and fictional characters in the works, entries relating to significant places and events in the author's life, important literary terminology, and much additional information.","""Social Science""",fiction bestsellers
Associated Advertising,,,,,"""Advertising""",fiction bestsellers
Readers' Guide to Periodical Literature,,Anna Lorraine Guthrie,,An author subject index to selected general interest periodicals of reference value in libraries.,"""Periodicals""",fiction bestsellers
The Bookman,,,,,"""Book collecting""",fiction bestsellers
Michigan Library Bulletin,,,,,"""Libraries""",fiction bestsellers
Michigan Library Bulletin,,Michigan State Library,,,,fiction bestsellers
The Christian Century,,,,,"""Theology""",fiction bestsellers
Premium Practice,,,,,"""Advertising specialties""",fiction bestsellers
Library Notes,,North Carolina College for Women. Library,,,"""Classified catalogs""",fiction bestsellers
Publish. Profit. Independence. - How to Earn Extra Income and Financial Freedom by Publishing on Your Own,,Dr. Robert C. Worstell,Lulu.com,"Find independence and financial freedom from one of the simplest home businesses you can start from scratch - or less... Learn Tips and Tricks to make self-publishing pay well. I fell into this by accident. There I was writing away, only to find that I made more money publishing other people's stuff than I did with my own. This journey led me into working out the details and shortcuts which made it all simple. Meanwhile, I started making enough income to cover all my bills. Surprise, surprise. You get the benefits in this: * How publishing books help you earn recurring income from work you do just once. * Simple ways to have the freedom you never get from working for someone else. * Find peace of mind by becoming your own boss. * Discover the joy of only working with bestselling authors - who are now working for you. * Literally make money while you sleep from countries you've never visited - by people you've never met before. Get Your Copy Now.","""Business & Economics""",fiction bestsellers
The Reception of Spanish American Fiction in West Germany 1981-1991,A Study of Best Sellers,Meg H. Brown,TÃ¼bingen : Niemeyer,,"""Literary Criticism""",fiction bestsellers
